playerId,name,position,gp,goals,assists,points
8471800,Matt Butcher,C,0,0,0,0
8471801,Patrik Hersley,D,0,0,0,0
8471802,Taylor Dakers,G,0,0,0,0
8471803,Brian Salcido,D,2,0,1,1
8471804,Nathan Gerbe,C,435,63,88,151
8471805,Daren Machesney,G,0,0,0,0
8470659,Masi Marjamaki,L,1,0,0,0
8471806,Timothy Kunes,D,0,0,0,0
8471807,Tom Wandell,C,229,20,23,43
8471808,Trevor Koverko,D,0,0,0,0
8471809,Anton Krysanov,C,0,0,0,0
8471810,Derek Joslin,D,116,4,12,16
8471811,Cal O'Reilly,C,145,16,33,49
8471812,Jeff May,D,0,0,0,0
8471813,Josh Beaulieu,L,0,0,0,0
8471814,Alex Berry,R,0,0,0,0
8471815,Wacey Rabbit,C,0,0,0,0
8471816,Mark Fayne,D,389,17,48,65
8471817,Ryan Reaves,R,962,66,74,140
8471818,Fredrik Pettersson,L,0,0,0,0
8471819,Matt Keetley,G,1,0,0,0
8471820,Risto Korhonen,D,0,0,0,0
8471821,Matt Watkins,R,1,0,0,0
8471822,Brian Foster,G,1,0,0,0
8471823,Paul Fenton,L,0,0,0,0
8471824,Marek Kvapil,R,0,0,0,0
8471825,Roman Derlyuk,D,0,0,0,0
8471826,Kevin Beech,G,0,0,0,0
8471827,Jason Lynch,D,0,0,0,0
8471828,Joe Fallon,G,0,0,0,0
8471829,Justin Mercier,C,9,1,1,2
8471830,Mike Gauthier,D,0,0,0,0
8471831,Sean Zimmerman,D,0,0,0,0
8471832,Nick Drazenovic,C,12,0,0,0
8471833,Lukas Vantuch,C,0,0,0,0
8471834,Johan Dahlberg,L,0,0,0,0
8471835,John Flatters,D,0,0,0,0
8471836,Juho Mielonen,D,0,0,0,0
8471837,Ryan Maki,R,0,0,0,0
8471838,Derek Reinhart,D,0,0,0,0
8471839,Greg Beller,L,0,0,0,0
8471840,Brett Sutter,L,60,2,8,10
8471841,Tyrell Mason,D,0,0,0,0
8471842,Tim Kennedy,L,162,15,24,39
8471843,Adam Dennis,G,0,0,0,0
8470817,William Colbert,D,0,0,0,0
8471844,Ryan McGinnis,D,0,0,0,0
8471846,Kris Fredheim,D,3,0,0,0
8471847,Dimitri Megalinsky,D,0,0,0,0
8471848,Andrey Zubarev,D,4,0,1,1
8471849,Joe Charlebois,D,0,0,0,0
8471850,Kirill Starkov,C,0,0,0,0
8471851,Matt D'Agostini,R,324,52,55,107
8471852,Vjateslav Buravchikov,D,0,0,0,0
8471853,Nicolas Blanchard,L,9,0,0,0
8471854,Tony Lucia,L,0,0,0,0
8471855,Jean-Philippe Paquet,D,0,0,0,0
8471856,Joe Vitale,C,234,11,33,44
8471857,Nicholas Tuzzolino,D,0,0,0,0
8471845,Jean-Philippe Levasseur,G,0,0,0,0
8471770,Kyle Lawson,D,0,0,0,0
8471858,Riley Emmerson,D,0,0,0,0
8471859,Sergei Kostitsyn,L,353,67,109,176
8470872,Trevor Hendrikx,D,0,0,0,0
8471860,David Kuchejda,R,0,0,0,0
8471861,Adam Hobson,C,0,0,0,0
8471862,Colin Greening,C,286,45,57,102
8471863,Mario Bliznak,C,6,1,0,1
8471864,Josh Meyers,D,0,0,0,0
8471865,Myles Stoesz,L,0,0,0,0
8471866,Matt Generous,D,0,0,0,0
8472011,Viktor Dovgan,D,0,0,0,0
