round,gp_sk,gp_g,n_g
1,514.7720588235294,263.2142857142857,14
2,209.12436548223351,136.775,40
3,125.3179347826087,115.55555555555556,54
4,107.36745406824147,73.4,45
5,75.15039577836411,43.06,50
6,65.75342465753425,20.593220338983052,59
7,45.482849604221634,25.408163265306122,49
