age_group,mean_sleep,se,n
20-34,7.861569966563467,0.041807551285559234,1952
35-49,7.607944612258798,0.04239171877666603,1980
50-64,7.6133674286435085,0.05064152158256763,2387
65+,7.963146774437652,0.048228178263503035,2003
