age_group,sleep_bin,pct
20-34,<5h,1.7989554960543013
20-34,5-6h,4.1353916947246425
20-34,6-7h,14.806674696757897
20-34,7-8h,29.094575065444086
20-34,8-9h,32.15180218380718
20-34,9h+,18.012600863211894
35-49,<5h,2.3032474220160557
35-49,5-6h,4.866230077995958
35-49,6-7h,18.892714875569066
35-49,7-8h,35.22525671796005
35-49,8-9h,26.633670369866383
35-49,9h+,12.078880536592498
50-64,<5h,3.556630681253081
50-64,5-6h,5.089529583358046
50-64,6-7h,15.926074859771804
50-64,7-8h,36.245858286197915
50-64,8-9h,23.900205239236183
50-64,9h+,15.281701350182985
65+,<5h,2.192404961100046
65+,5-6h,4.917410434383443
65+,6-7h,10.409797387590528
65+,7-8h,25.058081406808064
65+,8-9h,30.993405100135455
65+,9h+,26.42890070998247
