sleep_bin,n,BMXBMI_mean,BMXBMI_n,BMXBMI_se,LBXGH_mean,LBXGH_n,LBXGH_se,obese_mean,obese_n,obese_se,hypertension_mean,hypertension_n,hypertension_se,diabetes_mean,diabetes_n,diabetes_se,prediabetes_plus_mean,prediabetes_plus_n,prediabetes_plus_se
<5h,333,30.164927240820806,308,0.8458679332677609,5.899965612459054,291,0.10949226090097328,0.4553332583319879,313,0.047093693055943596,0.4347692693492792,313,0.04687863270113428,0.1464521528647492,313,0.03343447048064554,0.4586410012804837,313,0.04712070203540867
5-6h,506,30.701278163748718,466,0.6403707567421566,5.898554180314589,457,0.08955376896526734,0.42171895712647084,478,0.036458308467458185,0.4092729505998057,478,0.03630073558110132,0.1478015446420371,478,0.02620145042827679,0.4274804684253437,478,0.03652319544664728
6-7h,1370,30.369303060578552,1271,0.31708079785702825,5.658374399982423,1228,0.04380135094162265,0.4559351283374213,1287,0.02195011274378696,0.3248499646944158,1287,0.02063960798627539,0.09599622210094172,1287,0.012982910962849358,0.334508469611852,1287,0.02079384060536663
7-8h,2575,30.003852173604916,2355,0.22681487708917816,5.6793479469412125,2278,0.028891410677671637,0.4246318361701478,2388,0.015527459574224994,0.2983625885773097,2388,0.014373077571249416,0.12086120952933395,2388,0.01023984557100992,0.342318830251437,2388,0.014905423364514806
8-9h,2397,29.185243590859887,2174,0.22067310177675223,5.641362674723613,2083,0.02967298854254725,0.3836650921512362,2213,0.015139587384902614,0.3018532765987798,2213,0.01429225683774045,0.10173565551901538,2213,0.009411702422180899,0.30523062021826314,2213,0.014337185265165156
9h+,1929,29.522779827988497,1705,0.2592457155633038,5.687749515216666,1645,0.03328667606178216,0.39756048653674364,1757,0.017163872946660733,0.3791957549955958,1757,0.017016335206831053,0.1356509614999542,1757,0.012009169500560073,0.3400059764838814,1757,0.016613848149985372
