generation,education,age,occupation,kind,chinese,total_pop,not_vismin
Total - Generation status,"Total - Highest certificate, diploma or degree",35 to 44 years,"1 Business, finance and administration occupations",broad,48660.0,799675.0,549150.0
Total - Generation status,"Total - Highest certificate, diploma or degree",35 to 44 years,"10 Specialized middle management occupations in administrative services, fi",mgmt,9710.0,132385.0,91325.0
Total - Generation status,"Total - Highest certificate, diploma or degree",35 to 44 years,2 Natural and applied sciences and related occupations,tech_broad,30770.0,436230.0,266825.0
Total - Generation status,"Total - Highest certificate, diploma or degree",35 to 44 years,"20 Specialized middle management occupations in engineering, architecture, ",mgmt,2885.0,43925.0,27480.0
Total - Generation status,"Total - Highest certificate, diploma or degree",35 to 44 years,21 Professional occupations in natural and applied sciences,tech_prof,22235.0,255695.0,140455.0
Total - Generation status,"Total - Highest certificate, diploma or degree",35 to 44 years,3 Health occupations,broad,13515.0,390250.0,253590.0
Total - Generation status,"Total - Highest certificate, diploma or degree",35 to 44 years,30 Specialized middle management occupations in health care,mgmt,395.0,11000.0,8200.0
Total - Generation status,"Total - Highest certificate, diploma or degree",35 to 44 years,"4 Occupations in education, law and social, community and government servic",broad,19300.0,636005.0,494205.0
Total - Generation status,"Total - Highest certificate, diploma or degree",35 to 44 years,"5 Occupations in art, culture, recreation and sport",broad,7315.0,147335.0,114160.0
Total - Generation status,"Total - Highest certificate, diploma or degree",35 to 44 years,"50 Specialized middle management occupations in art, culture, recreation an",mgmt,250.0,7505.0,6295.0
Total - Generation status,"Total - Highest certificate, diploma or degree",35 to 44 years,6 Sales and service occupations,broad,48590.0,832965.0,525710.0
Total - Generation status,"Total - Highest certificate, diploma or degree",35 to 44 years,60 Middle management occupations in retail and wholesale trade and customer,mgmt,10680.0,174015.0,123155.0
Total - Generation status,"Total - Highest certificate, diploma or degree",35 to 44 years,"7 Trades, transport and equipment operators and related occupations",broad,14705.0,741870.0,555640.0
Total - Generation status,"Total - Highest certificate, diploma or degree",35 to 44 years,70 Middle management occupations in trades and transportation,mgmt,3230.0,71765.0,54725.0
Total - Generation status,"Total - Highest certificate, diploma or degree",35 to 44 years,"8 Natural resources, agriculture and related production occupations",broad,930.0,97320.0,85945.0
Total - Generation status,"Total - Highest certificate, diploma or degree",35 to 44 years,80 Middle management occupations in production and agriculture,mgmt,290.0,31065.0,29095.0
Total - Generation status,"Total - Highest certificate, diploma or degree",35 to 44 years,9 Occupations in manufacturing and utilities,broad,5230.0,188065.0,118565.0
Total - Generation status,"Total - Highest certificate, diploma or degree",35 to 44 years,90 Middle management occupations in manufacturing and utilities,mgmt,915.0,21630.0,16880.0
Total - Generation status,"Total - Highest certificate, diploma or degree",45 to 54 years,0 Legislative and senior management occupations,mgmt,2640.0,79025.0,68085.0
Total - Generation status,"Total - Highest certificate, diploma or degree",45 to 54 years,"1 Business, finance and administration occupations",broad,44070.0,763700.0,585745.0
Total - Generation status,"Total - Highest certificate, diploma or degree",45 to 54 years,"10 Specialized middle management occupations in administrative services, fi",mgmt,6905.0,117510.0,91700.0
Total - Generation status,"Total - Highest certificate, diploma or degree",45 to 54 years,2 Natural and applied sciences and related occupations,tech_broad,36195.0,351905.0,236160.0
Total - Generation status,"Total - Highest certificate, diploma or degree",45 to 54 years,"20 Specialized middle management occupations in engineering, architecture, ",mgmt,2715.0,41180.0,29890.0
Total - Generation status,"Total - Highest certificate, diploma or degree",45 to 54 years,21 Professional occupations in natural and applied sciences,tech_prof,26360.0,194735.0,119640.0
Total - Generation status,"Total - Highest certificate, diploma or degree",45 to 54 years,3 Health occupations,broad,12290.0,336995.0,226020.0
