generation,education,age,occupation,kind,chinese,total_pop,not_vismin
First generation,"Total - Highest certificate, diploma or degree",35 to 44 years,"8 Natural resources, agriculture and related production occupations",broad,760.0,15675.0,5560.0
First generation,"Total - Highest certificate, diploma or degree",35 to 44 years,80 Middle management occupations in production and agriculture,mgmt,240.0,3760.0,2110.0
First generation,"Total - Highest certificate, diploma or degree",35 to 44 years,9 Occupations in manufacturing and utilities,broad,4540.0,75000.0,10055.0
First generation,"Total - Highest certificate, diploma or degree",35 to 44 years,90 Middle management occupations in manufacturing and utilities,mgmt,730.0,5885.0,1980.0
First generation,"Total - Highest certificate, diploma or degree",45 to 54 years,0 Legislative and senior management occupations,mgmt,2170.0,17460.0,8580.0
First generation,"Total - Highest certificate, diploma or degree",45 to 54 years,"1 Business, finance and administration occupations",broad,38275.0,225645.0,69160.0
First generation,"Total - Highest certificate, diploma or degree",45 to 54 years,"10 Specialized middle management occupations in administrative services, fi",mgmt,5810.0,33395.0,11685.0
First generation,"Total - Highest certificate, diploma or degree",45 to 54 years,2 Natural and applied sciences and related occupations,tech_broad,32770.0,153990.0,48040.0
First generation,"Total - Highest certificate, diploma or degree",45 to 54 years,"20 Specialized middle management occupations in engineering, architecture, ",mgmt,2290.0,16225.0,6335.0
First generation,"Total - Highest certificate, diploma or degree",45 to 54 years,21 Professional occupations in natural and applied sciences,tech_prof,24225.0,99325.0,29895.0
First generation,"Total - Highest certificate, diploma or degree",45 to 54 years,3 Health occupations,broad,9920.0,130970.0,28785.0
First generation,"Total - Highest certificate, diploma or degree",45 to 54 years,30 Specialized middle management occupations in health care,mgmt,200.0,2895.0,1205.0
First generation,"Total - Highest certificate, diploma or degree",45 to 54 years,"4 Occupations in education, law and social, community and government servic",broad,12885.0,146030.0,50580.0
First generation,"Total - Highest certificate, diploma or degree",45 to 54 years,"5 Occupations in art, culture, recreation and sport",broad,4240.0,30725.0,14455.0
First generation,"Total - Highest certificate, diploma or degree",45 to 54 years,"50 Specialized middle management occupations in art, culture, recreation an",mgmt,170.0,1200.0,600.0
First generation,"Total - Highest certificate, diploma or degree",45 to 54 years,6 Sales and service occupations,broad,49295.0,315215.0,66525.0
First generation,"Total - Highest certificate, diploma or degree",45 to 54 years,60 Middle management occupations in retail and wholesale trade and customer,mgmt,9660.0,53405.0,14465.0
First generation,"Total - Highest certificate, diploma or degree",45 to 54 years,"7 Trades, transport and equipment operators and related occupations",broad,15900.0,213335.0,63085.0
First generation,"Total - Highest certificate, diploma or degree",45 to 54 years,70 Middle management occupations in trades and transportation,mgmt,2760.0,21020.0,8310.0
First generation,"Total - Highest certificate, diploma or degree",45 to 54 years,"8 Natural resources, agriculture and related production occupations",broad,1310.0,15845.0,6345.0
First generation,"Total - Highest certificate, diploma or degree",45 to 54 years,80 Middle management occupations in production and agriculture,mgmt,520.0,4900.0,2835.0
First generation,"Total - Highest certificate, diploma or degree",45 to 54 years,9 Occupations in manufacturing and utilities,broad,9385.0,90960.0,14440.0
First generation,"Total - Highest certificate, diploma or degree",45 to 54 years,90 Middle management occupations in manufacturing and utilities,mgmt,950.0,7260.0,2810.0
First generation,Bachelor’s degree or higher,Total - Age,0 Legislative and senior management occupations,mgmt,4915.0,38950.0,18455.0
First generation,Bachelor’s degree or higher,Total - Age,"1 Business, finance and administration occupations",broad,108350.0,591245.0,147930.0
First generation,Bachelor’s degree or higher,Total - Age,"10 Specialized middle management occupations in administrative services, fi",mgmt,17630.0,95845.0,28905.0
First generation,Bachelor’s degree or higher,Total - Age,2 Natural and applied sciences and related occupations,tech_broad,96920.0,538370.0,136725.0
First generation,Bachelor’s degree or higher,Total - Age,"20 Specialized middle management occupations in engineering, architecture, ",mgmt,6170.0,45525.0,15140.0
First generation,Bachelor’s degree or higher,Total - Age,21 Professional occupations in natural and applied sciences,tech_prof,77735.0,408175.0,102035.0
First generation,Bachelor’s degree or higher,Total - Age,3 Health occupations,broad,28055.0,285250.0,64200.0
First generation,Bachelor’s degree or higher,Total - Age,30 Specialized middle management occupations in health care,mgmt,685.0,7330.0,2610.0
First generation,Bachelor’s degree or higher,Total - Age,"4 Occupations in education, law and social, community and government servic",broad,47055.0,414285.0,146060.0
First generation,Bachelor’s degree or higher,Total - Age,"5 Occupations in art, culture, recreation and sport",broad,14500.0,96865.0,43820.0
First generation,Bachelor’s degree or higher,Total - Age,"50 Specialized middle management occupations in art, culture, recreation an",mgmt,410.0,3100.0,1645.0
First generation,Bachelor’s degree or higher,Total - Age,6 Sales and service occupations,broad,71275.0,505675.0,82440.0
First generation,Bachelor’s degree or higher,Total - Age,60 Middle management occupations in retail and wholesale trade and customer,mgmt,16510.0,94140.0,20875.0
First generation,Bachelor’s degree or higher,Total - Age,"7 Trades, transport and equipment operators and related occupations",broad,18485.0,200955.0,44055.0
First generation,Bachelor’s degree or higher,Total - Age,70 Middle management occupations in trades and transportation,mgmt,4520.0,32395.0,10585.0
First generation,Bachelor’s degree or higher,Total - Age,"8 Natural resources, agriculture and related production occupations",broad,1250.0,14675.0,5895.0
First generation,Bachelor’s degree or higher,Total - Age,80 Middle management occupations in production and agriculture,mgmt,505.0,5085.0,2905.0
First generation,Bachelor’s degree or higher,Total - Age,9 Occupations in manufacturing and utilities,broad,7640.0,83210.0,12165.0
First generation,Bachelor’s degree or higher,Total - Age,90 Middle management occupations in manufacturing and utilities,mgmt,1900.0,12715.0,4050.0
First generation,Bachelor’s degree or higher,25 to 34 years,0 Legislative and senior management occupations,mgmt,685.0,4135.0,1525.0
First generation,Bachelor’s degree or higher,25 to 34 years,"1 Business, finance and administration occupations",broad,34815.0,173565.0,35410.0
First generation,Bachelor’s degree or higher,25 to 34 years,"10 Specialized middle management occupations in administrative services, fi",mgmt,5220.0,25615.0,6505.0
First generation,Bachelor’s degree or higher,25 to 34 years,2 Natural and applied sciences and related occupations,tech_broad,24920.0,160420.0,29720.0
First generation,Bachelor’s degree or higher,25 to 34 years,"20 Specialized middle management occupations in engineering, architecture, ",mgmt,1085.0,8055.0,2190.0
First generation,Bachelor’s degree or higher,25 to 34 years,21 Professional occupations in natural and applied sciences,tech_prof,21160.0,127545.0,23405.0
First generation,Bachelor’s degree or higher,25 to 34 years,3 Health occupations,broad,7835.0,70220.0,11090.0
First generation,Bachelor’s degree or higher,25 to 34 years,30 Specialized middle management occupations in health care,mgmt,145.0,1180.0,250.0
First generation,Bachelor’s degree or higher,25 to 34 years,"4 Occupations in education, law and social, community and government servic",broad,14955.0,98640.0,27155.0
First generation,Bachelor’s degree or higher,25 to 34 years,"5 Occupations in art, culture, recreation and sport",broad,5170.0,28815.0,10560.0
First generation,Bachelor’s degree or higher,25 to 34 years,"50 Specialized middle management occupations in art, culture, recreation an",mgmt,95.0,675.0,330.0
First generation,Bachelor’s degree or higher,25 to 34 years,6 Sales and service occupations,broad,20355.0,152985.0,20500.0
First generation,Bachelor’s degree or higher,25 to 34 years,60 Middle management occupations in retail and wholesale trade and customer,mgmt,4280.0,24935.0,4815.0
First generation,Bachelor’s degree or higher,25 to 34 years,"7 Trades, transport and equipment operators and related occupations",broad,3210.0,46925.0,7790.0
First generation,Bachelor’s degree or higher,25 to 34 years,70 Middle management occupations in trades and transportation,mgmt,990.0,7335.0,2045.0
First generation,Bachelor’s degree or higher,25 to 34 years,"8 Natural resources, agriculture and related production occupations",broad,200.0,3160.0,1240.0
First generation,Bachelor’s degree or higher,25 to 34 years,80 Middle management occupations in production and agriculture,mgmt,80.0,720.0,390.0
First generation,Bachelor’s degree or higher,25 to 34 years,9 Occupations in manufacturing and utilities,broad,1185.0,17605.0,1950.0
First generation,Bachelor’s degree or higher,25 to 34 years,90 Middle management occupations in manufacturing and utilities,mgmt,335.0,2210.0,540.0
First generation,Bachelor’s degree or higher,35 to 44 years,0 Legislative and senior management occupations,mgmt,1325.0,9730.0,3855.0
First generation,Bachelor’s degree or higher,35 to 44 years,"1 Business, finance and administration occupations",broad,27250.0,172840.0,40505.0
First generation,Bachelor’s degree or higher,35 to 44 years,"10 Specialized middle management occupations in administrative services, fi",mgmt,5585.0,32305.0,9080.0
First generation,Bachelor’s degree or higher,35 to 44 years,2 Natural and applied sciences and related occupations,tech_broad,20415.0,158290.0,36035.0
First generation,Bachelor’s degree or higher,35 to 44 years,"20 Specialized middle management occupations in engineering, architecture, ",mgmt,1780.0,16500.0,4500.0
First generation,Bachelor’s degree or higher,35 to 44 years,21 Professional occupations in natural and applied sciences,tech_prof,16040.0,118335.0,26155.0
First generation,Bachelor’s degree or higher,35 to 44 years,3 Health occupations,broad,6030.0,81675.0,15470.0
First generation,Bachelor’s degree or higher,35 to 44 years,30 Specialized middle management occupations in health care,mgmt,195.0,2285.0,680.0
First generation,Bachelor’s degree or higher,35 to 44 years,"4 Occupations in education, law and social, community and government servic",broad,10575.0,110820.0,34665.0
First generation,Bachelor’s degree or higher,35 to 44 years,"5 Occupations in art, culture, recreation and sport",broad,3370.0,25865.0,10970.0
First generation,Bachelor’s degree or higher,35 to 44 years,"50 Specialized middle management occupations in art, culture, recreation an",mgmt,100.0,860.0,430.0
First generation,Bachelor’s degree or higher,35 to 44 years,6 Sales and service occupations,broad,16770.0,128485.0,19700.0
First generation,Bachelor’s degree or higher,35 to 44 years,60 Middle management occupations in retail and wholesale trade and customer,mgmt,4405.0,27145.0,5725.0
First generation,Bachelor’s degree or higher,35 to 44 years,"7 Trades, transport and equipment operators and related occupations",broad,3865.0,56495.0,11305.0
First generation,Bachelor’s degree or higher,35 to 44 years,70 Middle management occupations in trades and transportation,mgmt,1240.0,9430.0,2630.0
First generation,Bachelor’s degree or higher,35 to 44 years,"8 Natural resources, agriculture and related production occupations",broad,190.0,3625.0,1180.0
First generation,Bachelor’s degree or higher,35 to 44 years,80 Middle management occupations in production and agriculture,mgmt,75.0,1165.0,595.0
First generation,Bachelor’s degree or higher,35 to 44 years,9 Occupations in manufacturing and utilities,broad,1290.0,22470.0,3190.0
First generation,Bachelor’s degree or higher,35 to 44 years,90 Middle management occupations in manufacturing and utilities,mgmt,500.0,3675.0,1075.0
First generation,Bachelor’s degree or higher,45 to 54 years,0 Legislative and senior management occupations,mgmt,1555.0,12165.0,5775.0
First generation,Bachelor’s degree or higher,45 to 54 years,"1 Business, finance and administration occupations",broad,25660.0,127385.0,34000.0
First generation,Bachelor’s degree or higher,45 to 54 years,"10 Specialized middle management occupations in administrative services, fi",mgmt,4435.0,23210.0,7575.0
First generation,Bachelor’s degree or higher,45 to 54 years,2 Natural and applied sciences and related occupations,tech_broad,28790.0,118985.0,34155.0
First generation,Bachelor’s degree or higher,45 to 54 years,"20 Specialized middle management occupations in engineering, architecture, ",mgmt,2080.0,13350.0,4900.0
First generation,Bachelor’s degree or higher,45 to 54 years,21 Professional occupations in natural and applied sciences,tech_prof,22615.0,86075.0,24405.0
First generation,Bachelor’s degree or higher,45 to 54 years,3 Health occupations,broad,6520.0,71330.0,16300.0
First generation,Bachelor’s degree or higher,45 to 54 years,30 Specialized middle management occupations in health care,mgmt,150.0,2220.0,895.0
First generation,Bachelor’s degree or higher,45 to 54 years,"4 Occupations in education, law and social, community and government servic",broad,9670.0,98325.0,35980.0
First generation,Bachelor’s degree or higher,45 to 54 years,"5 Occupations in art, culture, recreation and sport",broad,2605.0,17680.0,8300.0
First generation,Bachelor’s degree or higher,45 to 54 years,"50 Specialized middle management occupations in art, culture, recreation an",mgmt,110.0,775.0,415.0
First generation,Bachelor’s degree or higher,45 to 54 years,6 Sales and service occupations,broad,16770.0,97395.0,16450.0
First generation,Bachelor’s degree or higher,45 to 54 years,60 Middle management occupations in retail and wholesale trade and customer,mgmt,4550.0,21950.0,4820.0
First generation,Bachelor’s degree or higher,45 to 54 years,"7 Trades, transport and equipment operators and related occupations",broad,5735.0,48015.0,10380.0
First generation,Bachelor’s degree or higher,45 to 54 years,70 Middle management occupations in trades and transportation,mgmt,1265.0,8105.0,2675.0
First generation,Bachelor’s degree or higher,45 to 54 years,"8 Natural resources, agriculture and related production occupations",broad,385.0,3070.0,945.0
First generation,Bachelor’s degree or higher,45 to 54 years,80 Middle management occupations in production and agriculture,mgmt,170.0,1155.0,540.0
First generation,Bachelor’s degree or higher,45 to 54 years,9 Occupations in manufacturing and utilities,broad,2180.0,21745.0,3200.0
First generation,Bachelor’s degree or higher,45 to 54 years,90 Middle management occupations in manufacturing and utilities,mgmt,575.0,3750.0,1255.0
Second generation,"Total - Highest certificate, diploma or degree",Total - Age,0 Legislative and senior management occupations,mgmt,1550.0,46550.0,39320.0
Second generation,"Total - Highest certificate, diploma or degree",Total - Age,"1 Business, finance and administration occupations",broad,47060.0,627080.0,427675.0
Second generation,"Total - Highest certificate, diploma or degree",Total - Age,"10 Specialized middle management occupations in administrative services, fi",mgmt,7110.0,91705.0,64560.0
Second generation,"Total - Highest certificate, diploma or degree",Total - Age,2 Natural and applied sciences and related occupations,tech_broad,28170.0,247355.0,162120.0
Second generation,"Total - Highest certificate, diploma or degree",Total - Age,"20 Specialized middle management occupations in engineering, architecture, ",mgmt,2130.0,23085.0,16550.0
Second generation,"Total - Highest certificate, diploma or degree",Total - Age,21 Professional occupations in natural and applied sciences,tech_prof,19855.0,140575.0,86150.0
Second generation,"Total - Highest certificate, diploma or degree",Total - Age,3 Health occupations,broad,19060.0,229440.0,144995.0
Second generation,"Total - Highest certificate, diploma or degree",Total - Age,30 Specialized middle management occupations in health care,mgmt,305.0,6615.0,4800.0
Second generation,"Total - Highest certificate, diploma or degree",Total - Age,"4 Occupations in education, law and social, community and government servic",broad,23600.0,429260.0,309905.0
Second generation,"Total - Highest certificate, diploma or degree",Total - Age,"5 Occupations in art, culture, recreation and sport",broad,10920.0,139555.0,95415.0
Second generation,"Total - Highest certificate, diploma or degree",Total - Age,"50 Specialized middle management occupations in art, culture, recreation an",mgmt,290.0,5595.0,4350.0
Second generation,"Total - Highest certificate, diploma or degree",Total - Age,6 Sales and service occupations,broad,41475.0,802725.0,499930.0
Second generation,"Total - Highest certificate, diploma or degree",Total - Age,60 Middle management occupations in retail and wholesale trade and customer,mgmt,5520.0,113755.0,86590.0
Second generation,"Total - Highest certificate, diploma or degree",Total - Age,"7 Trades, transport and equipment operators and related occupations",broad,10805.0,444855.0,353740.0
Second generation,"Total - Highest certificate, diploma or degree",Total - Age,70 Middle management occupations in trades and transportation,mgmt,1775.0,50665.0,41865.0
Second generation,"Total - Highest certificate, diploma or degree",Total - Age,"8 Natural resources, agriculture and related production occupations",broad,1015.0,75845.0,67375.0
Second generation,"Total - Highest certificate, diploma or degree",Total - Age,80 Middle management occupations in production and agriculture,mgmt,160.0,26645.0,25785.0
Second generation,"Total - Highest certificate, diploma or degree",Total - Age,9 Occupations in manufacturing and utilities,broad,2935.0,94095.0,72035.0
Second generation,"Total - Highest certificate, diploma or degree",Total - Age,90 Middle management occupations in manufacturing and utilities,mgmt,510.0,14425.0,12280.0
Second generation,"Total - Highest certificate, diploma or degree",25 to 34 years,0 Legislative and senior management occupations,mgmt,295.0,4055.0,2365.0
Second generation,"Total - Highest certificate, diploma or degree",25 to 34 years,"1 Business, finance and administration occupations",broad,17375.0,148750.0,67525.0
Second generation,"Total - Highest certificate, diploma or degree",25 to 34 years,"10 Specialized middle management occupations in administrative services, fi",mgmt,2540.0,20150.0,9690.0
Second generation,"Total - Highest certificate, diploma or degree",25 to 34 years,2 Natural and applied sciences and related occupations,tech_broad,10555.0,67485.0,32040.0
Second generation,"Total - Highest certificate, diploma or degree",25 to 34 years,"20 Specialized middle management occupations in engineering, architecture, ",mgmt,525.0,3465.0,1630.0
Second generation,"Total - Highest certificate, diploma or degree",25 to 34 years,21 Professional occupations in natural and applied sciences,tech_prof,7770.0,43045.0,19320.0
Second generation,"Total - Highest certificate, diploma or degree",25 to 34 years,3 Health occupations,broad,8600.0,70120.0,30670.0
Second generation,"Total - Highest certificate, diploma or degree",25 to 34 years,30 Specialized middle management occupations in health care,mgmt,95.0,1130.0,505.0
Second generation,"Total - Highest certificate, diploma or degree",25 to 34 years,"4 Occupations in education, law and social, community and government servic",broad,8015.0,103530.0,56930.0
Second generation,"Total - Highest certificate, diploma or degree",25 to 34 years,"5 Occupations in art, culture, recreation and sport",broad,3510.0,33855.0,18585.0
Second generation,"Total - Highest certificate, diploma or degree",25 to 34 years,"50 Specialized middle management occupations in art, culture, recreation an",mgmt,100.0,1115.0,665.0
Second generation,"Total - Highest certificate, diploma or degree",25 to 34 years,6 Sales and service occupations,broad,11805.0,160725.0,78340.0
Second generation,"Total - Highest certificate, diploma or degree",25 to 34 years,60 Middle management occupations in retail and wholesale trade and customer,mgmt,2145.0,25075.0,13230.0
Second generation,"Total - Highest certificate, diploma or degree",25 to 34 years,"7 Trades, transport and equipment operators and related occupations",broad,3600.0,95835.0,60285.0
Second generation,"Total - Highest certificate, diploma or degree",25 to 34 years,70 Middle management occupations in trades and transportation,mgmt,585.0,9000.0,5425.0
Second generation,"Total - Highest certificate, diploma or degree",25 to 34 years,"8 Natural resources, agriculture and related production occupations",broad,260.0,10485.0,8230.0
Second generation,"Total - Highest certificate, diploma or degree",25 to 34 years,80 Middle management occupations in production and agriculture,mgmt,40.0,2135.0,1875.0
Second generation,"Total - Highest certificate, diploma or degree",25 to 34 years,9 Occupations in manufacturing and utilities,broad,870.0,18415.0,10850.0
Second generation,"Total - Highest certificate, diploma or degree",25 to 34 years,90 Middle management occupations in manufacturing and utilities,mgmt,160.0,1780.0,1035.0
Second generation,"Total - Highest certificate, diploma or degree",35 to 44 years,0 Legislative and senior management occupations,mgmt,520.0,10475.0,7525.0
Second generation,"Total - Highest certificate, diploma or degree",35 to 44 years,"1 Business, finance and administration occupations",broad,11510.0,136830.0,87200.0
Second generation,"Total - Highest certificate, diploma or degree",35 to 44 years,"10 Specialized middle management occupations in administrative services, fi",mgmt,2765.0,28230.0,17620.0
Second generation,"Total - Highest certificate, diploma or degree",35 to 44 years,2 Natural and applied sciences and related occupations,tech_broad,6985.0,59465.0,37585.0
Second generation,"Total - Highest certificate, diploma or degree",35 to 44 years,"20 Specialized middle management occupations in engineering, architecture, ",mgmt,935.0,7555.0,4610.0
Second generation,"Total - Highest certificate, diploma or degree",35 to 44 years,21 Professional occupations in natural and applied sciences,tech_prof,4725.0,33120.0,20025.0
Second generation,"Total - Highest certificate, diploma or degree",35 to 44 years,3 Health occupations,broad,5070.0,54285.0,32865.0
Second generation,"Total - Highest certificate, diploma or degree",35 to 44 years,30 Specialized middle management occupations in health care,mgmt,125.0,2095.0,1325.0
Second generation,"Total - Highest certificate, diploma or degree",35 to 44 years,"4 Occupations in education, law and social, community and government servic",broad,5745.0,106575.0,75895.0
Second generation,"Total - Highest certificate, diploma or degree",35 to 44 years,"5 Occupations in art, culture, recreation and sport",broad,2190.0,28385.0,19440.0
Second generation,"Total - Highest certificate, diploma or degree",35 to 44 years,"50 Specialized middle management occupations in art, culture, recreation an",mgmt,75.0,1615.0,1155.0
Second generation,"Total - Highest certificate, diploma or degree",35 to 44 years,6 Sales and service occupations,broad,6115.0,112720.0,78605.0
Second generation,"Total - Highest certificate, diploma or degree",35 to 44 years,60 Middle management occupations in retail and wholesale trade and customer,mgmt,1765.0,28940.0,20875.0
Second generation,"Total - Highest certificate, diploma or degree",35 to 44 years,"7 Trades, transport and equipment operators and related occupations",broad,2425.0,88760.0,69585.0
Second generation,"Total - Highest certificate, diploma or degree",35 to 44 years,70 Middle management occupations in trades and transportation,mgmt,625.0,12470.0,9525.0
Second generation,"Total - Highest certificate, diploma or degree",35 to 44 years,"8 Natural resources, agriculture and related production occupations",broad,150.0,9610.0,8670.0
Second generation,"Total - Highest certificate, diploma or degree",35 to 44 years,80 Middle management occupations in production and agriculture,mgmt,45.0,3050.0,2810.0
Second generation,"Total - Highest certificate, diploma or degree",35 to 44 years,9 Occupations in manufacturing and utilities,broad,635.0,17310.0,13300.0
Second generation,"Total - Highest certificate, diploma or degree",35 to 44 years,90 Middle management occupations in manufacturing and utilities,mgmt,185.0,3440.0,2630.0
Second generation,"Total - Highest certificate, diploma or degree",45 to 54 years,0 Legislative and senior management occupations,mgmt,430.0,14810.0,13050.0
Second generation,"Total - Highest certificate, diploma or degree",45 to 54 years,"1 Business, finance and administration occupations",broad,5440.0,129995.0,111295.0
Second generation,"Total - Highest certificate, diploma or degree",45 to 54 years,"10 Specialized middle management occupations in administrative services, fi",mgmt,1015.0,23695.0,20030.0
Second generation,"Total - Highest certificate, diploma or degree",45 to 54 years,2 Natural and applied sciences and related occupations,tech_broad,3265.0,49110.0,40430.0
Second generation,"Total - Highest certificate, diploma or degree",45 to 54 years,"20 Specialized middle management occupations in engineering, architecture, ",mgmt,400.0,7220.0,5935.0
Second generation,"Total - Highest certificate, diploma or degree",45 to 54 years,21 Professional occupations in natural and applied sciences,tech_prof,2060.0,25525.0,20465.0
Second generation,"Total - Highest certificate, diploma or degree",45 to 54 years,3 Health occupations,broad,2200.0,41575.0,33785.0
Second generation,"Total - Highest certificate, diploma or degree",45 to 54 years,30 Specialized middle management occupations in health care,mgmt,50.0,1870.0,1575.0
Second generation,"Total - Highest certificate, diploma or degree",45 to 54 years,"4 Occupations in education, law and social, community and government servic",broad,2740.0,96640.0,83300.0
Second generation,"Total - Highest certificate, diploma or degree",45 to 54 years,"5 Occupations in art, culture, recreation and sport",broad,920.0,22235.0,18700.0
Second generation,"Total - Highest certificate, diploma or degree",45 to 54 years,"50 Specialized middle management occupations in art, culture, recreation an",mgmt,65.0,1410.0,1240.0
Second generation,"Total - Highest certificate, diploma or degree",45 to 54 years,6 Sales and service occupations,broad,2910.0,107545.0,94630.0
Second generation,"Total - Highest certificate, diploma or degree",45 to 54 years,60 Middle management occupations in retail and wholesale trade and customer,mgmt,710.0,27765.0,24715.0
Second generation,"Total - Highest certificate, diploma or degree",45 to 54 years,"7 Trades, transport and equipment operators and related occupations",broad,1220.0,88800.0,81695.0
Second generation,"Total - Highest certificate, diploma or degree",45 to 54 years,70 Middle management occupations in trades and transportation,mgmt,225.0,13035.0,12015.0
Second generation,"Total - Highest certificate, diploma or degree",45 to 54 years,"8 Natural resources, agriculture and related production occupations",broad,70.0,10240.0,9840.0
Second generation,"Total - Highest certificate, diploma or degree",45 to 54 years,80 Middle management occupations in production and agriculture,mgmt,30.0,3905.0,3780.0
Second generation,"Total - Highest certificate, diploma or degree",45 to 54 years,9 Occupations in manufacturing and utilities,broad,300.0,19750.0,18105.0
Second generation,"Total - Highest certificate, diploma or degree",45 to 54 years,90 Middle management occupations in manufacturing and utilities,mgmt,95.0,4345.0,3970.0
Second generation,Bachelor’s degree or higher,Total - Age,0 Legislative and senior management occupations,mgmt,1250.0,27090.0,22020.0
Second generation,Bachelor’s degree or higher,Total - Age,"1 Business, finance and administration occupations",broad,31200.0,261515.0,156990.0
Second generation,Bachelor’s degree or higher,Total - Age,"10 Specialized middle management occupations in administrative services, fi",mgmt,5780.0,53335.0,34775.0
Second generation,Bachelor’s degree or higher,Total - Age,2 Natural and applied sciences and related occupations,tech_broad,20035.0,133020.0,80360.0
Second generation,Bachelor’s degree or higher,Total - Age,"20 Specialized middle management occupations in engineering, architecture, ",mgmt,1855.0,15370.0,10355.0
Second generation,Bachelor’s degree or higher,Total - Age,21 Professional occupations in natural and applied sciences,tech_prof,15505.0,99495.0,59090.0
Second generation,Bachelor’s degree or higher,Total - Age,3 Health occupations,broad,15530.0,126875.0,72885.0
Second generation,Bachelor’s degree or higher,Total - Age,30 Specialized middle management occupations in health care,mgmt,290.0,4480.0,3075.0
Second generation,Bachelor’s degree or higher,Total - Age,"4 Occupations in education, law and social, community and government servic",broad,17490.0,285765.0,206820.0
Second generation,Bachelor’s degree or higher,Total - Age,"5 Occupations in art, culture, recreation and sport",broad,5620.0,57605.0,40095.0
Second generation,Bachelor’s degree or higher,Total - Age,"50 Specialized middle management occupations in art, culture, recreation an",mgmt,155.0,3035.0,2320.0
Second generation,Bachelor’s degree or higher,Total - Age,6 Sales and service occupations,broad,12550.0,133020.0,78950.0
Second generation,Bachelor’s degree or higher,Total - Age,60 Middle management occupations in retail and wholesale trade and customer,mgmt,2935.0,31795.0,21770.0
Second generation,Bachelor’s degree or higher,Total - Age,"7 Trades, transport and equipment operators and related occupations",broad,2540.0,37710.0,27265.0
Second generation,Bachelor’s degree or higher,Total - Age,70 Middle management occupations in trades and transportation,mgmt,885.0,12625.0,9420.0
Second generation,Bachelor’s degree or higher,Total - Age,"8 Natural resources, agriculture and related production occupations",broad,225.0,8555.0,7540.0
Second generation,Bachelor’s degree or higher,Total - Age,80 Middle management occupations in production and agriculture,mgmt,80.0,4085.0,3775.0
Second generation,Bachelor’s degree or higher,Total - Age,9 Occupations in manufacturing and utilities,broad,955.0,11350.0,8045.0
Second generation,Bachelor’s degree or higher,Total - Age,90 Middle management occupations in manufacturing and utilities,mgmt,390.0,5120.0,3960.0
Second generation,Bachelor’s degree or higher,25 to 34 years,0 Legislative and senior management occupations,mgmt,240.0,2515.0,1380.0
Second generation,Bachelor’s degree or higher,25 to 34 years,"1 Business, finance and administration occupations",broad,13800.0,85900.0,35555.0
Second generation,Bachelor’s degree or higher,25 to 34 years,"10 Specialized middle management occupations in administrative services, fi",mgmt,2215.0,14255.0,6605.0
Second generation,Bachelor’s degree or higher,25 to 34 years,2 Natural and applied sciences and related occupations,tech_broad,8815.0,44275.0,19275.0
Second generation,Bachelor’s degree or higher,25 to 34 years,"20 Specialized middle management occupations in engineering, architecture, ",mgmt,500.0,2765.0,1230.0
Second generation,Bachelor’s degree or higher,25 to 34 years,21 Professional occupations in natural and applied sciences,tech_prof,7025.0,34875.0,15070.0
Second generation,Bachelor’s degree or higher,25 to 34 years,3 Health occupations,broad,7365.0,45145.0,18170.0
Second generation,Bachelor’s degree or higher,25 to 34 years,30 Specialized middle management occupations in health care,mgmt,90.0,820.0,355.0
Second generation,Bachelor’s degree or higher,25 to 34 years,"4 Occupations in education, law and social, community and government servic",broad,6990.0,74765.0,40515.0
Second generation,Bachelor’s degree or higher,25 to 34 years,"5 Occupations in art, culture, recreation and sport",broad,2370.0,17145.0,9335.0
Second generation,Bachelor’s degree or higher,25 to 34 years,"50 Specialized middle management occupations in art, culture, recreation an",mgmt,60.0,610.0,370.0
Second generation,Bachelor’s degree or higher,25 to 34 years,6 Sales and service occupations,broad,5530.0,43195.0,18895.0
Second generation,Bachelor’s degree or higher,25 to 34 years,60 Middle management occupations in retail and wholesale trade and customer,mgmt,1220.0,8905.0,4380.0
Second generation,Bachelor’s degree or higher,25 to 34 years,"7 Trades, transport and equipment operators and related occupations",broad,1130.0,10400.0,5490.0
Second generation,Bachelor’s degree or higher,25 to 34 years,70 Middle management occupations in trades and transportation,mgmt,370.0,3225.0,1740.0
Second generation,Bachelor’s degree or higher,25 to 34 years,"8 Natural resources, agriculture and related production occupations",broad,85.0,1620.0,1215.0
Second generation,Bachelor’s degree or higher,25 to 34 years,80 Middle management occupations in production and agriculture,mgmt,25.0,430.0,335.0
Second generation,Bachelor’s degree or higher,25 to 34 years,9 Occupations in manufacturing and utilities,broad,345.0,2895.0,1470.0
Second generation,Bachelor’s degree or higher,25 to 34 years,90 Middle management occupations in manufacturing and utilities,mgmt,130.0,900.0,485.0
Second generation,Bachelor’s degree or higher,35 to 44 years,0 Legislative and senior management occupations,mgmt,435.0,6630.0,4535.0
Second generation,Bachelor’s degree or higher,35 to 44 years,"1 Business, finance and administration occupations",broad,8450.0,64760.0,37090.0
Second generation,Bachelor’s degree or higher,35 to 44 years,"10 Specialized middle management occupations in administrative services, fi",mgmt,2280.0,17695.0,10425.0
Second generation,Bachelor’s degree or higher,35 to 44 years,2 Natural and applied sciences and related occupations,tech_broad,5445.0,33320.0,19315.0
