vismin,immgen,education,income_stat,y2021,y2016,y2011,y2006
Not a visible minority,Non-immigrants,Bachelor’s degree or higher,Median employment income ($),66500.0,59200.0,54800.0,48000.0
Total - Visible minority,Immigrants,"Total - Highest certificate, diploma or degree",Median employment income ($),36800.0,32000.0,30800.0,26000.0
Total - Visible minority,Immigrants,Bachelor’s degree or higher,Median employment income ($),50800.0,43600.0,42000.0,35200.0
Chinese,Immigrants,"Total - Highest certificate, diploma or degree",Median employment income ($),34800.0,31000.0,30000.0,23600.0
Chinese,Immigrants,Bachelor’s degree or higher,Median employment income ($),54800.0,48400.0,44400.0,34000.0
Not a visible minority,Immigrants,"Total - Highest certificate, diploma or degree",Median employment income ($),40800.0,36000.0,34000.0,30000.0
Not a visible minority,Immigrants,Bachelor’s degree or higher,Median employment income ($),60000.0,52000.0,48000.0,42000.0
Total - Visible minority,First generation,"Total - Highest certificate, diploma or degree",Median employment income ($),34400.0,31000.0,30200.0,25600.0
Total - Visible minority,First generation,Bachelor’s degree or higher,Median employment income ($),46800.0,41600.0,40800.0,34800.0
Chinese,First generation,"Total - Highest certificate, diploma or degree",Median employment income ($),32000.0,29200.0,30000.0,23000.0
Chinese,First generation,Bachelor’s degree or higher,Median employment income ($),50800.0,45200.0,43200.0,33200.0
Not a visible minority,First generation,"Total - Highest certificate, diploma or degree",Median employment income ($),39600.0,35200.0,33600.0,29800.0
Not a visible minority,First generation,Bachelor’s degree or higher,Median employment income ($),57200.0,50000.0,47600.0,42000.0
Total - Visible minority,Second generation,"Total - Highest certificate, diploma or degree",Median employment income ($),39600.0,35200.0,33200.0,28000.0
Total - Visible minority,Second generation,Bachelor’s degree or higher,Median employment income ($),64000.0,56800.0,53200.0,45600.0
Chinese,Second generation,"Total - Highest certificate, diploma or degree",Median employment income ($),45600.0,35600.0,30000.0,21400.0
Chinese,Second generation,Bachelor’s degree or higher,Median employment income ($),65500.0,56400.0,49600.0,41600.0
Not a visible minority,Second generation,"Total - Highest certificate, diploma or degree",Median employment income ($),44000.0,39200.0,36000.0,30000.0
Not a visible minority,Second generation,Bachelor’s degree or higher,Median employment income ($),68500.0,60400.0,56000.0,48000.0
Total - Visible minority,Third generation or more,"Total - Highest certificate, diploma or degree",Median employment income ($),38800.0,34400.0,31800.0,27000.0
Total - Visible minority,Third generation or more,Bachelor’s degree or higher,Median employment income ($),66000.0,58800.0,54400.0,48000.0
Chinese,Third generation or more,"Total - Highest certificate, diploma or degree",Median employment income ($),31000.0,23800.0,22200.0,24000.0
Chinese,Third generation or more,Bachelor’s degree or higher,Median employment income ($),55600.0,45200.0,52000.0,48400.0
Not a visible minority,Third generation or more,"Total - Highest certificate, diploma or degree",Median employment income ($),38800.0,34800.0,31800.0,27000.0
Not a visible minority,Third generation or more,Bachelor’s degree or higher,Median employment income ($),66000.0,58800.0,54400.0,48000.0
