season,team,xGF60,xGA60,xGshare,corsi,GSAA60,finish5v5,PPxGF60,PKxGA60,GD60,finalist,p_finalist_loo
2008,MIN,1.798921210120821,2.0761233051620356,0.46,0.47,-0.050187181335719186,1.0603163566834695,5.85032877570191,5.296999257766939,0.20454887280870337,0,0.027998344972729683
2008,BOS,2.2466179606390044,2.1711119656028246,0.51,0.51,0.3935749991260882,1.1553003780983055,6.1158690176322414,6.915672562731386,0.9620686505667883,0,0.20096203684806824
2008,ARI,1.8779333680602674,2.227455580895517,0.46,0.45,-0.2623780362356588,1.0908785768230258,5.9135584761271,7.816063460585027,-0.5875772300222041,0,0.00028597397613339126
2008,LAK,2.2329852652170366,2.120830654144667,0.51,0.51,-0.1124806419185105,0.8322382829610163,5.375534426647948,5.789684265460555,-0.2878666217985667,0,0.0017502093687653542
2008,COL,2.1554374296263323,2.2021000811752076,0.49,0.47,-0.46882610175705053,0.9184342882134267,5.641800101129277,5.904039707707155,-0.7575909409760497,0,0.0007754933321848512
2008,DAL,2.0766365703555043,2.222095646640531,0.48,0.5,-0.3250401605532143,1.1571395510298543,6.082139567385573,6.204468607041039,-0.323705428060465,0,0.000311731593683362
2008,TOR,2.412385012340139,2.480328366482335,0.49,0.5,-0.3229289023215297,1.0569852941176472,7.375243564762589,8.629902855890732,-0.49738166966578373,0,0.0006134005379863083
2008,CAR,2.4438927684806484,2.3829722633994748,0.51,0.52,0.14868461002661143,0.9010786635096028,6.056426332288401,6.853658536585366,0.18050360505811214,0,0.5282360911369324
2008,OTT,2.0549612834524553,2.1065482894166006,0.49,0.49,-0.165173074142079,0.9672961768770153,6.330727130570757,5.9947787170561915,-0.21350272973783316,0,0.00045618065632879734
2008,BUF,2.129863813229572,2.0500972762645917,0.51,0.49,-0.30074578469520097,1.1646494633477962,6.470030018398373,6.027992508087859,0.15605670060121843,0,0.002503415569663048
2008,TBL,2.1231312917860015,2.213935336513603,0.49,0.48,-0.14923588099616478,0.9987039719448045,6.795936139332365,5.781007039665262,-0.7332650003942286,0,0.0003110556281171739
2008,ANA,2.214250258254068,2.0456942003514937,0.52,0.51,-0.06326889279437621,1.0615093790897194,7.880026367831246,6.595878212195743,0.036089743161327834,0,0.002981501864269376
2008,EDM,2.263610007516375,2.3910125630838612,0.49,0.48,0.03946096853860177,1.0673117973530668,5.223877868178079,7.024973432518597,-0.19257708934440207,0,0.0037453745026141405
2008,STL,2.0107950164360213,2.0359563329410335,0.5,0.48,-0.2366787062213384,1.0494873657867119,5.489257653310729,5.053584905660377,0.0,0,0.0025487563107162714
