metric,value,unit,source
young_adults_with_no_one_to_count_on_2023,19,percent of young adults,World Happiness Report 2025 Ch. 5 (Pei & Zaki, Stanford) — Gallup World Poll
increase_in_no_support_vs_2006,39,percent increase,same as above
gfs_young_adults_with_no_close_relationships,17,percent of young adults,World Happiness Report 2025 Ch. 5 — Global Flourishing Study (22 countries/regions)
japan_young_adult_social_isolation,30,percent (over 30%),same as above
nigeria_egypt_philippines_young_adult_isolation,10,percent (less than 10%),same as above
young_adults_who_can_often_count_on_support,76,percent (rating 5+ on 0-10),same as above
