sex,equipment,bw_bin,n,p5,p10,p25,p50,p75,p90,p95,p99
F,Single-ply,105,162,235.8,272.6,333.1,410.0,469.4,559.0,592.1,690.1
F,Single-ply,110,103,230.2,260.5,327.5,407.5,473.8,538.0,577.0,654.5
F,Single-ply,115,112,255.5,291.3,349.4,423.4,495.0,559.8,610.5,677.5
F,Single-ply,120,67,250.0,292.5,343.8,415.0,508.8,590.0,678.2,724.6
F,Single-ply,125,58,264.2,305.8,351.2,435.0,498.1,541.5,590.1,662.8
F,Single-ply,130,41,312.5,322.1,380.0,467.5,542.5,672.5,682.5,785.8
M,Single-ply,40,350,100.0,112.5,137.5,170.0,207.5,245.0,273.4,340.2
M,Single-ply,45,552,151.4,175.0,205.0,247.5,295.0,340.0,362.5,427.5
M,Single-ply,50,3550,186.7,213.2,262.5,317.5,377.5,433.2,467.5,518.8
M,Single-ply,55,7031,240.0,272.2,325.0,387.5,455.0,520.0,555.0,625.0
M,Single-ply,60,5891,255.0,290.0,340.0,397.5,457.5,515.0,552.2,620.0
M,Single-ply,65,11873,295.0,330.0,392.4,457.5,522.5,585.0,621.6,692.5
M,Single-ply,70,9229,332.5,375.0,440.0,515.0,592.5,665.0,700.0,767.5
M,Single-ply,75,12119,332.5,371.9,432.5,500.0,565.0,623.5,662.5,740.0
M,Single-ply,80,17641,376.5,420.0,485.3,560.0,632.5,705.0,742.5,820.0
M,Single-ply,85,7073,392.5,440.0,520.0,600.0,685.0,750.0,790.0,850.0
M,Single-ply,90,14217,407.5,450.0,520.0,595.0,673.6,748.4,787.5,865.0
M,Single-ply,95,5227,427.5,477.5,560.0,650.0,740.0,800.0,840.0,914.3
M,Single-ply,100,12050,433.2,482.5,557.5,639.1,717.5,795.0,832.5,915.0
M,Single-ply,105,3453,435.0,497.8,595.0,692.5,782.5,845.0,885.0,957.5
M,Single-ply,110,7063,446.8,500.0,579.2,665.0,743.9,812.5,850.0,926.0
M,Single-ply,115,2120,475.0,527.5,625.0,727.5,822.5,895.0,945.0,1042.0
M,Single-ply,120,1436,450.0,515.0,612.5,730.0,822.5,900.0,942.5,1026.6
M,Single-ply,125,4213,455.5,507.5,596.5,687.5,777.5,846.0,885.0,970.0
M,Single-ply,130,596,470.0,522.5,630.0,730.0,830.0,916.2,950.1,1052.9
M,Single-ply,135,417,476.5,550.0,640.0,740.0,845.0,935.0,982.5,1064.3
M,Single-ply,140,310,482.4,551.8,640.0,752.5,862.5,945.5,1000.0,1075.0
M,Single-ply,145,269,473.5,523.5,657.7,757.5,880.0,974.0,1011.5,1091.8
M,Single-ply,150,158,520.7,582.3,676.2,800.0,900.0,976.5,1027.3,1109.7
M,Single-ply,155,108,521.8,545.5,665.0,751.2,886.2,984.8,1020.8,1117.9
M,Single-ply,160,63,365.0,434.0,658.8,832.5,945.0,1073.5,1114.8,1208.3
M,Single-ply,165,53,429.5,509.5,642.5,810.0,945.0,1109.0,1152.8,1218.3
M,Single-ply,180,60,433.1,550.0,606.2,715.0,850.0,966.5,1025.2,1137.5
