unit_id,cluster,umap_x,umap_y
0,2,3.7658105,4.154329
1,2,3.7978268,4.185649
2,14,-0.08304489,8.603383
3,2,2.040029,11.043326
4,11,1.4588503,8.027595
5,2,1.9702358,10.990152
6,2,1.9772159,10.866588
7,6,4.145421,12.839204
8,2,0.70908016,14.6736555
9,14,-1.1779649,11.644127
10,2,0.96594405,13.219232
11,2,3.4778464,9.760037
12,2,-0.0024895123,9.134398
13,2,2.3826504,7.315128
14,2,3.3637557,10.616625
15,4,2.5551758,5.829731
16,17,3.7762983,4.166729
17,14,3.39965,11.13846
18,14,3.497724,11.0260315
19,2,3.7528803,4.1739526
20,6,4.222169,12.856114
21,7,-1.5716559,6.51311
22,14,-0.22570273,4.957204
23,2,-0.13199414,4.3909435
24,11,-0.6331159,8.656161
25,2,3.584426,9.823429
26,2,2.9962234,13.944633
27,2,0.601483,5.119808
28,21,-0.67172605,8.640413
29,6,1.540743,7.0400567
30,11,1.0205274,11.170458
31,18,-0.6134619,8.679885
32,2,2.5461392,10.476868
33,2,1.6015614,7.3791666
34,2,2.897155,9.658482
35,22,1.338207,11.819554
36,22,1.541024,7.9863305
37,2,3.7500682,4.1213512
38,6,0.7060956,11.392761
39,2,7.5127063,10.236045
40,2,0.80337125,10.919336
41,2,0.9298784,9.634097
42,2,6.067197,10.632887
43,2,-0.48834497,8.707237
44,11,3.971556,9.247478
45,2,1.7851793,15.267502
46,11,0.59203345,7.9846435
47,2,2.5305197,6.0903068
48,2,-0.78034997,8.629794
49,2,3.2631,10.374136
50,6,3.3411455,6.8989773
51,21,-2.1915631,7.218471
52,2,0.73444825,14.682444
53,2,0.7080449,14.708968
54,11,0.77605397,14.633269
55,2,2.6792357,9.459553
56,7,4.576268,9.6806345
57,11,2.312396,7.433489
58,2,6.1619153,9.679781
59,1,2.4529839,6.9935126
60,11,2.559991,7.1223464
61,11,0.645292,11.333543
62,11,5.2555056,14.050201
63,1,2.3986728,6.9191647
64,1,2.398364,6.931569
65,5,1.5651387,7.4114165
66,2,1.4190179,8.410773
67,2,-2.6469898,9.6547785
68,2,2.9573693,10.714373
69,2,4.239319,8.303522
70,11,-0.099195845,12.323079
71,2,2.5487816,5.8417835
72,21,-2.18403,7.2319674
73,2,0.30981252,7.551521
74,21,3.79198,4.117169
75,12,3.7789788,4.175328
76,12,4.3792634,9.826968
77,17,1.0058501,11.928882
78,22,4.5604424,9.67579
79,10,5.446733,9.902063
80,2,1.6323206,12.992929
81,10,1.665427,12.959699
82,2,-0.071242325,4.10122
83,2,3.314514,9.971512
84,2,1.0893861,7.78473
85,14,1.0842936,7.766167
86,14,3.5753107,11.085063
87,21,1.0530822,7.7633915
88,2,3.8072076,4.261179
89,6,4.2564754,12.883784
90,14,3.3906777,10.625044
91,17,0.96285623,11.9447975
92,2,3.7396595,4.157756
93,19,3.7022722,4.164506
94,6,1.2151465,9.876443
95,2,4.5912404,11.397315
96,11,2.2739348,7.96296
97,2,3.7292855,6.3250446
98,2,3.2149005,9.822207
99,2,3.9423602,10.662369
100,1,3.7396975,4.114791
101,1,5.5089817,7.7121797
102,11,2.3919904,8.811791
103,2,3.950825,10.567379
104,2,3.958817,10.615284
105,2,3.7775526,10.413864
106,20,3.9236221,6.821544
107,2,4.6401167,8.876372
108,2,2.098303,9.64739
109,4,0.8885375,5.8343744
110,12,2.223554,8.117394
111,12,1.3824291,8.404047
112,2,2.4613674,10.483101
113,17,0.98718417,11.957716
114,2,1.0608368,8.340857
115,12,6.6544495,12.463641
116,2,-2.752795,12.825525
117,7,1.1877246,7.751223
118,12,1.379124,8.425747
119,2,1.4051411,8.39246
120,11,1.6213374,12.968882
121,17,2.506615,5.8780212
122,12,3.7541711,4.1577716
123,2,3.757325,4.1354113
124,15,3.7738798,4.1373725
125,2,3.1826093,9.228587
126,14,3.3549614,9.173226
127,14,3.4980505,11.135153
128,23,-0.49105784,9.461207
129,2,3.9858253,11.541138
130,14,-1.6029687,13.371164
131,14,3.9750774,12.49685
132,15,3.7760684,4.1388855
133,2,3.0758095,11.729292
134,2,4.4365125,6.2846537
135,13,2.049736,10.981033
136,2,6.5076704,7.7809772
137,13,2.9921734,13.916579
138,2,2.540314,9.76428
139,15,2.981184,12.459649
140,6,3.3753197,6.9633627
141,14,3.4855704,11.107395
142,0,-0.66438615,8.637674
143,14,3.8293877,4.073155
144,2,4.0876193,12.117045
145,2,3.7282467,6.3659873
146,6,3.3225136,6.8864064
147,6,3.3269193,6.9025903
148,17,3.7786129,4.2045627
149,2,3.826009,4.0976753
150,11,-0.683448,8.643179
151,2,2.5632346,12.175212
152,14,3.5565307,11.188676
153,6,3.7676113,4.109572
154,1,2.370296,6.8302307
155,1,2.3789594,6.878338
156,1,2.355597,6.928008
157,1,2.3876586,7.21113
158,3,5.64505,12.167612
159,3,3.8006697,4.1505914
160,2,0.72390395,10.302617
161,16,-1.3025274,7.965008
162,11,1.4253902,8.171859
163,2,2.2362278,10.12416
164,2,-2.7747667,12.80747
165,6,0.5878145,7.937309
166,21,-2.1898096,7.284994
167,0,-0.05559198,8.296225
168,2,1.1773529,9.8856945
169,21,-2.2096088,7.240878
170,2,1.1920291,8.712661
171,2,2.971821,13.967379
172,0,1.1057214,8.0198145
173,12,1.1622502,8.749369
174,0,5.1253057,6.7853913
175,2,3.2936575,9.529205
176,2,2.348761,7.4349165
177,6,-0.062236417,4.1026387
178,17,0.59583503,5.1066513
179,2,2.963721,10.714038
180,14,3.4967558,11.2272835
181,2,5.339292,11.203179
182,2,2.1843293,7.3070183
183,12,3.753293,4.1776133
184,2,-0.3709876,7.2983923
185,23,-1.0946705,11.666782
186,1,-0.72135013,7.226202
187,2,0.2768495,8.766735
188,6,3.326538,6.8954535
189,2,0.32237795,8.877401
190,2,-0.24834406,4.3644886
191,14,3.7899444,11.371218
192,2,3.6917784,4.268753
193,2,-1.7011905,13.418715
194,17,3.7601762,4.1614823
195,11,3.7868638,12.719098
196,0,6.037246,10.658531
197,2,1.8955115,12.402955
198,12,6.7063437,12.505098
199,11,3.7351367,12.769318
200,11,1.517209,8.012155
201,12,1.5155787,7.949938
202,2,3.7643538,4.1317964
203,13,1.8295773,11.522011
204,2,2.9559922,10.83225
205,12,-0.6314332,8.648464
206,2,2.461288,5.8409553
207,12,3.9459865,12.975174
208,6,3.6168473,13.154376
209,1,3.6893773,4.1190124
210,12,1.2357805,8.759156
211,2,6.5670605,11.556431
212,2,4.4437714,6.2662544
213,6,3.2802577,6.8548894
214,1,3.7147248,4.1174803
215,11,3.7901745,12.620622
216,14,1.79035,15.281222
217,6,1.0300759,13.188791
218,14,3.524365,11.106846
219,14,3.5822752,11.162685
220,1,2.3697417,7.218691
221,1,2.3743722,6.8495626
222,1,3.6743708,4.165243
223,12,1.778308,12.931928
224,2,4.565532,9.678931
225,2,3.943361,5.6117063
226,11,6.603471,11.558494
227,2,3.956365,10.524426
228,6,3.33226,6.87568
229,14,3.5107884,11.137833
230,11,2.102353,11.033546
231,2,2.9840295,13.941143
232,14,3.5860257,9.133839
233,2,2.0409498,12.111582
234,2,2.0464113,12.117746
235,2,2.0068836,12.129185
236,2,1.9818863,12.061929
237,2,1.9571295,12.170748
238,2,1.963661,12.163567
239,12,2.0047905,12.069108
240,2,-2.7558205,12.82878
241,4,3.7710822,4.212003
242,1,2.3228574,6.843685
243,2,0.7017878,7.918836
244,11,-0.48707592,8.2093725
245,2,3.7852962,4.1551023
246,11,0.4742063,6.874759
247,2,1.5717617,8.663742
248,12,5.1431518,7.875823
249,2,0.5589124,12.7020855
250,2,2.875774,9.557872
251,2,-0.078574896,4.0946255
252,2,3.8313775,4.130464
253,14,-0.73630273,8.632514
254,2,-2.6621468,9.678768
255,2,-1.2735486,8.980922
256,2,-1.2154976,8.95424
257,2,3.7690144,4.1587305
258,17,3.771785,4.148302
259,2,4.9045715,8.064786
260,1,2.3115306,6.9238796
261,14,3.8268745,4.072301
262,14,3.854827,4.041498
263,14,7.4677806,10.273706
264,12,0.74609375,14.700228
265,14,3.464177,11.117755
266,12,1.1641953,9.371677
267,2,6.029934,11.408956
268,2,4.575949,9.697946
269,13,2.0289605,11.107954
270,6,2.8713415,10.815262
271,13,2.5487278,5.822903
272,19,2.8767087,10.816772
273,19,2.501721,11.419412
274,19,2.610105,11.377738
275,1,1.7948775,15.254455
276,2,2.2643995,7.9516807
277,2,1.2821883,8.781906
278,18,2.9727755,13.423621
279,1,4.092686,14.386734
280,2,0.84882414,5.868775
281,2,7.973267,9.010867
282,2,2.568184,5.8060064
283,3,5.676629,12.198393
284,13,3.772314,4.135396
285,13,3.7500882,4.125259
286,2,5.258705,14.035687
287,2,3.7897594,4.183905
288,11,1.4665937,7.993664
289,2,4.412971,6.26099
290,14,3.0115073,10.6519375
291,16,-0.4071856,12.976471
292,2,2.8901775,10.712438
293,6,2.5302527,5.8644323
