ability_pace,n,hot_share,median_hot_min,median_even_min,tax_min
270.0,35026,0.02549534631416662,211.03333333333333,203.01666666666668,8.016666666666667
315.0,30683,0.05048398135775511,235.41666666666666,230.25,5.166666666666667
345.0,33372,0.07853889488193695,258.73333333333335,251.43333333333334,7.3
375.0,21833,0.1705216873540054,281.2,274.6333333333333,6.566666666666666
405.0,15014,0.31830291727720794,300.6,295.25,5.35
450.0,14311,0.6086227377541751,330.6666666666667,321.28333333333336,9.383333333333333
